		D. Trump	T. Cruz	M. Rubio	B. Carson	J. Kasich	J. Bush	M. Huckabee	R. Paul	C. Christie	C. Fiorina	R. Santorum	L. Graham	Uncommitted
	Drew County	0.366	0.247	0.256	0.081	0.022	0.005	0.016	0.001	0.002	0	0.002	0	#N/A
	Faulkner County	0.272	0.333	0.29	0.051	0.032	0.006	0.01	0.003	0.001	0.001	0	0.001	#N/A
	Franklin County	0.369	0.329	0.181	0.055	0.029	0.005	0.025	0.005	0.002	0.001	0	0.001	#N/A
	Fulton County	0.47	0.278	0.131	0.08	0.023	0.002	0.011	0.004	0	0.001	0	0	#N/A
	Garland County	0.352	0.259	0.257	0.061	0.043	0.006	0.013	0.003	0.002	0.001	0	0.001	#N/A
	Grant County	0.312	0.411	0.201	0.039	0.018	0.002	0.01	0.003	0.002	0	0	0.001	#N/A
	Greene County	0.351	0.285	0.22	0.063	0.034	0.012	0.027	0.003	0.002	0.001	0	0.001	#N/A
	Hempstead County	0.339	0.378	0.163	0.049	0.038	0.002	0.026	0.003	0.001	0	0	0	#N/A
	Hot Spring County	0.373	0.322	0.208	0.055	0.019	0.003	0.016	0.001	0.001	0.001	0	0	#N/A
	Howard County	0.345	0.339	0.199	0.072	0.021	0.006	0.014	0.002	0.001	0	0.001	0.001	#N/A
	Independence County	0.349	0.276	0.23	0.079	0.039	0.003	0.018	0.003	0.001	0.001	0.001	0.001	#N/A
	Izard County	0.42	0.302	0.168	0.067	0.026	0.001	0.008	0.006	0	0	0	0	#N/A
	Jackson County	0.43	0.264	0.212	0.05	0.019	0.005	0.016	0.001	0	0.002	0.001	0.001	#N/A
	Jefferson County	0.394	0.34	0.188	0.048	0.011	0.003	0.011	0.001	0.001	0.001	0	0.001	#N/A
	Johnson County	0.397	0.298	0.183	0.069	0.029	0.004	0.015	0.002	0	0.002	0.001	0	#N/A
	Lafayette County	0.42	0.374	0.101	0.068	0.014	0.001	0.019	0	0.001	0	0.003	0	#N/A
	Lawrence County	0.358	0.343	0.185	0.072	0.017	0.007	0.012	0.002	0.002	0	0.002	0.001	#N/A
	Lee County	0.527	0.216	0.181	0.024	0.018	0.009	0.015	0.005	0.002	0	0.003	0	#N/A
	Lincoln County	0.436	0.312	0.182	0.051	0.011	0.002	0.005	0	0.001	0	0	0	#N/A
	Little River County	0.388	0.363	0.139	0.065	0.011	0.005	0.018	0.004	0.002	0.001	0	0.001	#N/A
	Logan County	0.365	0.326	0.208	0.062	0.019	0.003	0.011	0.002	0.001	0.002	0	0.001	#N/A
	Lonoke County	0.325	0.342	0.22	0.06	0.026	0.009	0.012	0.002	0.002	0.001	0	0.001	#N/A
	Madison County	0.384	0.362	0.169	0.05	0.017	0.006	0.007	0.002	0	0.001	0.002	0	#N/A
	Marion County	0.431	0.246	0.149	0.087	0.04	0.01	0.024	0.006	0.004	0.002	0.001	0	#N/A
	Miller County	0.347	0.392	0.126	0.064	0.03	0.007	0.025	0.003	0.001	0.001	0.002	0.001	#N/A
	Mississippi County	0.426	0.219	0.182	0.06	0.037	0.013	0.026	0.005	0.006	0.005	0.007	0.008	#N/A
	Monroe County	0.413	0.329	0.193	0.033	0.012	0	0.014	0.002	0	0	0	0.002	#N/A
